"","Exp_OTU","Domain","Phylum","Class","Exp_Class_Mean"
"28","OTU32","Bacteria","Proteobacteria","Gammaproteobacteria",16.4266755142668
"19","OTU23","Bacteria","Proteobacteria","Betaproteobacteria",14.3049104180491
"38","OTU4","Bacteria","Acidobacteria","Acidobacteria_Gp6",11.6556071665561
"14","OTU2","Bacteria","Acidobacteria","Acidobacteria_Gp4",10.8908427339084
"9","OTU14","Bacteria","Acidobacteria","Blastocatellia",7.83842070338421
"20","OTU24","Bacteria","Acidobacteria","Acidobacteria_Gp7",5.38487060384871
"47","OTU59","Bacteria","Verrucomicrobia","Spartobacteria",5.12110152621102
"53","OTU7","Bacteria","Actinobacteria","uncl_Actinobacteria",2.54313205043132
"7","OTU127","Bacteria","Bacteroidetes","Chitinophagia",2.49004644990046
"46","OTU52","Bacteria","Proteobacteria","Alphaproteobacteria",2.47511612475116
"25","OTU26","Bacteria","Acidobacteria","uncl_Acidobacteria",2.40378234903782
"37","OTU39","Bacteria","Actinobacteria","Thermoleophilia",1.87292634372926
"17","OTU221","Bacteria","Planctomycetes","Planctomycetacia",1.54445919044459
"24","OTU259","Bacteria","Firmicutes","Bacilli",1.51459854014599
"48","OTU6","Bacteria","Acidobacteria","Acidobacteria_Gp17",1.50630391506304
"43","OTU46","Bacteria","Bacteroidetes","Flavobacteriia",1.28234903782349
"4","OTU116","Bacteria","Acidobacteria","Acidobacteria_Gp3",1.00696748506967
"10","OTU142","Bacteria","Proteobacteria","Deltaproteobacteria",0.910749834107498
"45","OTU491","Bacteria","Verrucomicrobia","uncl_Verrucomicrobia",0.905773059057731
"57","OTU94","Bacteria","Nitrospirae","Nitrospira",0.882548108825481
"32","OTU337","Bacteria","Actinobacteria","Actinobacteria",0.743198407431984
"1","OTU111","Bacteria","Bacteroidetes","Cytophagia",0.68679495686795
"54","OTU72","Bacteria","Bacteroidetes","uncl_Bacteroidetes",0.6635700066357
"26","OTU290","Bacteria","Bacteroidetes","Sphingobacteriia",0.623755806237558
"35","OTU370","Bacteria","Proteobacteria","uncl_Proteobacteria",0.48772395487724
"16","OTU215","Bacteria","Verrucomicrobia","Subdivision3",0.338420703384207
"22","OTU245","Bacteria","Actinobacteria","Rubrobacteria",0.293629727936297
"36","OTU387","Bacteria","Armatimonadetes","uncl_Armatimonadetes",0.28865295288653
"21","OTU241","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria",0.282017252820173
"27","OTU303","Bacteria","Actinobacteria","Acidimicrobiia",0.267086927670869
"39","OTU420","Bacteria","Cyanobacteria","Cyanobacteria",0.257133377571334
"44","OTU483","Bacteria","Cyanobacteria","uncl_Cyanobacteria",0.205706702057067
"29","OTU321","Bacteria","Chloroflexi","Caldilineae",0.190776376907764
"42","OTU444","Bacteria","Verrucomicrobia","Verrucomicrobiae",0.187458526874585
"33","OTU354","Bacteria","Firmicutes","uncl_Firmicutes",0.180822826808228
"31","OTU329","Bacteria","candidate_division_WPS-1","uncl_candidate_division_WPS-1",0.142667551426676
"51","OTU676","Bacteria","Deinococcus-Thermus","uncl_Deinococcus-Thermus",0.137690776376908
"52","OTU682","Bacteria","Firmicutes","Clostridia",0.11114797611148
"30","OTU325","Bacteria","Chloroflexi","uncl_Chloroflexi",0.106171201061712
"3","OTU1150","Bacteria","Planctomycetes","uncl_Planctomycetes",0.092899800928998
"55","OTU741","Bacteria","Proteobacteria","Oligoflexia",0.0829462508294625
"58","OTU946","Bacteria","Acidobacteria","Acidobacteria_Gp1",0.0812873258128733
"41","OTU432","Bacteria","Armatimonadetes","Armatimonadia",0.0779694757796947
"49","OTU631","Bacteria","Abditibacteriota","uncl_Abditibacteriota",0.06635700066357
"50","OTU662","Bacteria","Bacteroidetes","Bacteroidia",0.0630391506303915
"34","OTU359","Bacteria","Verrucomicrobia","Opitutae",0.0613802256138023
"59","OTU973","Bacteria","Acidobacteria","Acidobacteria_Gp2",0.059721300597213
"5","OTU1218","Bacteria","Deinococcus-Thermus","Deinococci",0.0547445255474453
"60","OTU996","Bacteria","Armatimonadetes","Chthonomonadetes",0.0497677504976775
"40","OTU431","Bacteria","Acidobacteria","Vicinamibacteria",0.0348374253483743
"12","OTU1636","Bacteria","Firmicutes","Negativicutes",0.0298606502986065
"8","OTU1395","Bacteria","Spirochaetes","Spirochaetia",0.0282017252820173
"15","OTU2126","Bacteria","Campilobacterota","Campylobacteria",0.0165892501658925
"2","OTU1143","Bacteria","Chlamydiae","Chlamydiia",0.013271400132714
"18","OTU2271","Bacteria","Poribacteria","uncl_Poribacteria",0.0116124751161248
"13","OTU1745","Bacteria","Chloroflexi","Anaerolineae",0.006635700066357
"6","OTU1226","Bacteria","Deferribacteres","Deferribacteres",0.00497677504976775
"56","OTU934","Bacteria","Nitrospirae","uncl_Nitrospirae",0.00497677504976775
"11","OTU1428","Bacteria","Planctomycetes","Phycisphaerae",0.00165892501658925
"23","OTU2508","Bacteria","Chlamydiae","uncl_Chlamydiae",0.00165892501658925
